record_id,tier,source,name,state,county,capacity_mw,opposed_flag,lifecycle_outcome,origin_date,origin_precision,end_date,end_kind,span_days,event_observed,source_url
ext_00108,external,loudoun_lola,H5 DATA CENTER,VA,,,no,Approved,2022-10-28,day,2026-08-18,censored_asof,1390,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00109,external,loudoun_lola,DIGITAL DULLES BUILDING 7 & 9,VA,,,no,Approved,2020-07-21,day,2026-08-18,censored_asof,2219,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00110,external,loudoun_lola,DULLES BERRY LC4 DATA CENTER,VA,,,no,Approved,2022-01-25,day,2026-08-18,censored_asof,1666,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00111,external,loudoun_lola,H5 DATA CENTER,VA,,,no,Approved,2022-10-28,day,2026-08-18,censored_asof,1390,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00112,external,loudoun_lola,"INTERGATE ASHBURN DATA CENTER, PHASE 1, 2, & 3",VA,,,no,Approved,2011-09-12,day,2026-08-18,censored_asof,5454,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00113,external,loudoun_lola,LOUDOUN CENTER ACC-10 DATA CEN,VA,,,no,Approved,2017-05-23,day,2026-08-18,censored_asof,3374,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00114,external,loudoun_lola,H5 DATA CENTER,VA,,,no,Approved,2023-03-07,day,2026-08-18,censored_asof,1260,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00115,external,loudoun_lola,45865 Maries Road (STPL-2023-0035),VA,,,no,In Review,2024-11-19,day,2026-08-18,censored_asof,637,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00116,external,loudoun_lola,ALIGNED ENERGY DATA CENTER,VA,,,no,Approved,2022-05-25,day,2026-08-18,censored_asof,1546,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00117,external,loudoun_lola,BELMONT INNOVATION CAMPUS,VA,,,no,Approved,2022-10-31,day,2026-08-18,censored_asof,1387,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00118,external,loudoun_lola,VANTAGE DATA CENTER - BROAD RUN,VA,,,no,Approved,2023-02-16,day,2026-08-18,censored_asof,1279,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
