audit_order,universe_id,name,operator,state,county,source,lifecycle_outcome,announced_date,capacity_mw,search_protocol
106,prj_294,Sharon Keel Infrastructure Data Center Expansion,Keel Infrastructure,PA,mercer,proposals_unopposed,advanced_confirmed,2026-04-01,110.0,Sharon Keel Infrastructure Data Center Expansion PA | Sharon Keel Infrastructure Data Center Expansion data center mercer PA | mercer PA data center opposition OR moratorium OR rezoning OR petition | Keel Infrastructure data center PA residents
107,prj_1005,New Carlisle Chicago Trail Data Center (Third Site),Undisclosed Developer,IN,st. joseph,proposals_unopposed,pending,,,New Carlisle Chicago Trail Data Center (Third Site) IN | New Carlisle Chicago Trail Data Center (Third Site) data center st. joseph IN | st. joseph IN data center opposition OR moratorium OR rezoning OR petition | Undisclosed Developer data center IN residents
108,prj_161,Maiden iDataCenter Campus,Apple; Duke Energy; Bloom Energy,NC,catawba county; lincoln,proposals_unopposed,advanced_confirmed,,,Maiden iDataCenter Campus NC | Maiden iDataCenter Campus data center catawba county; lincoln NC | catawba county; lincoln NC data center opposition OR moratorium OR rezoning OR petition | Apple; Duke Energy; Bloom Energy data center NC residents
109,prj_233,Wildcat Ridge AI Data Center,Cornell Realty Management LLC,PA,lackawanna,proposals_unopposed,pending,2025-01-01,1600.0,Wildcat Ridge AI Data Center PA | Wildcat Ridge AI Data Center data center lackawanna PA | lackawanna PA data center opposition OR moratorium OR rezoning OR petition | Cornell Realty Management LLC data center PA residents
110,aic_0017,STACK Infrastructure NVA02,,VA,,ai_centers,,,118.0,STACK Infrastructure NVA02 VA | STACK Infrastructure NVA02 data center VA | VA data center opposition OR moratorium OR rezoning OR petition
111,prj_163,Forest City Data Center Campus,Meta,NC,rutherford,proposals_unopposed,advanced_confirmed,,,Forest City Data Center Campus NC | Forest City Data Center Campus data center rutherford NC | rutherford NC data center opposition OR moratorium OR rezoning OR petition | Meta data center NC residents
112,prj_156,High Point Data Center,DC BLOX; DC BLOX,NC,guilford,proposals_unopposed,pending,2021-05-01,,High Point Data Center NC | High Point Data Center data center guilford NC | guilford NC data center opposition OR moratorium OR rezoning OR petition | DC BLOX; DC BLOX data center NC residents
113,prj_145,Albany Kenwood Data Center,Undisclosed Developer,NY,albany,proposals_unopposed,pending,2026-05-01,,Albany Kenwood Data Center NY | Albany Kenwood Data Center data center albany NY | albany NY data center opposition OR moratorium OR rezoning OR petition | Undisclosed Developer data center NY residents
114,prj_204,Cologix Lewis Center Data Center,Cologix,OH,delaware,proposals_unopposed,advanced_confirmed,2025-06-14,120.0,Cologix Lewis Center Data Center OH | Cologix Lewis Center Data Center data center delaware OH | delaware OH data center opposition OR moratorium OR rezoning OR petition | Cologix data center OH residents
115,prj_40,Project Maize,Phoenix Investors,IN,la porte,proposals_unopposed,advanced_confirmed,2025-06-01,,Project Maize IN | Project Maize data center la porte IN | la porte IN data center opposition OR moratorium OR rezoning OR petition | Phoenix Investors data center IN residents
116,aic_0013,Google Council Bluffs (East),Google,IA,,ai_centers,,,190.0,Google Council Bluffs (East) IA | Google Council Bluffs (East) data center IA | IA data center opposition OR moratorium OR rezoning OR petition | Google data center IA residents
117,prj_23,Bloomfield Data Center Proposal,Gotspace Data LLC; Atlas Capital Group,CT,hartford,proposals_unopposed,pending,2025-01-01,,Bloomfield Data Center Proposal CT | Bloomfield Data Center Proposal data center hartford CT | hartford CT data center opposition OR moratorium OR rezoning OR petition | Gotspace Data LLC; Atlas Capital Group data center CT residents
118,prj_38,Pittsboro Middle Township Data Center,Vantage Data Centers,IN,hendricks,proposals_unopposed,pending,2025-02-01,,Pittsboro Middle Township Data Center IN | Pittsboro Middle Township Data Center data center hendricks IN | hendricks IN data center opposition OR moratorium OR rezoning OR petition | Vantage Data Centers data center IN residents
119,prj_143,Massena Petawatt Data Center Site Advertisement,Five 9s Digital,NY,st. lawrence,proposals_unopposed,pending,2026-01-01,200.0,Massena Petawatt Data Center Site Advertisement NY | Massena Petawatt Data Center Site Advertisement data center st. lawrence NY | st. lawrence NY data center opposition OR moratorium OR rezoning OR petition | Five 9s Digital data center NY residents
120,prj_324,Neural Nexus Data Center,Legacy Power Capital,TN,shelby,proposals_unopposed,pending,2025-12-01,70.0,Neural Nexus Data Center TN | Neural Nexus Data Center data center shelby TN | shelby TN data center opposition OR moratorium OR rezoning OR petition | Legacy Power Capital data center TN residents
121,prj_115,Project Spade,Google; Related Digital,MO,montgomery,proposals_unopposed,advanced_confirmed,2025-11-01,1200.0,Project Spade MO | Project Spade data center montgomery MO | montgomery MO data center opposition OR moratorium OR rezoning OR petition | Google; Related Digital data center MO residents
122,prj_332,Monarch Compute Campus and Mountaineer Gigasystem,Caterpillar; American Intelligence & Power Corporation,WV,mason,proposals_unopposed,pending,2025-01-01,2000.0,Monarch Compute Campus and Mountaineer Gigasystem WV | Monarch Compute Campus and Mountaineer Gigasystem data center mason WV | mason WV data center opposition OR moratorium OR rezoning OR petition | Caterpillar; American Intelligence & Power Corporation data center WV residents
123,prj_176,Microsoft — Catawba County Campus Cluster (Lyle Creek / Boyd Farm / Hickory / Stover North),Whiting-Turner Contracting; Morgan Construction; Ames Construction; Microsoft Corporation; Whiting-Turner Contracting; Morgan Construction; Ames Construction; Microsoft Corporation; Duke Energy,NC,,proposals_unopposed,advanced_confirmed,,,Microsoft — Catawba County Campus Cluster (Lyle Creek / Boyd Farm / Hickory / Stover North) NC | Microsoft — Catawba County Campus Cluster (Lyle Creek / Boyd Farm / Hickory / Stover North) data center NC | NC data center opposition OR moratorium OR rezoning OR petition | Whiting-Turner Contracting; Morgan Construction; Ames Construction; Microsoft Corporation; Whiting-Turner Contracting; Morgan Construction; Ames Construction; Microsoft Corporation; Duke Energy data center NC residents
124,prj_175,NC-1 Campus (Madison) Data Center,WhiteFiber HPC; Bit Digital; Enovum Data Centers; Bit Digital; WhiteFiber HPC; WhiteFiber HPC; Nscale; Rockingham County,NC,rockingham,proposals_unopposed,advanced_confirmed,,,NC-1 Campus (Madison) Data Center NC | NC-1 Campus (Madison) Data Center data center rockingham NC | rockingham NC data center opposition OR moratorium OR rezoning OR petition | WhiteFiber HPC; Bit Digital; Enovum Data Centers; Bit Digital; WhiteFiber HPC; WhiteFiber HPC; Nscale; Rockingham County data center NC residents
125,prj_302,TECfusions “Keystone Connect” AI Campus,TECfusions,PA,westmoreland,proposals_unopposed,pending,2025-01-01,336.0,TECfusions “Keystone Connect” AI Campus PA | TECfusions “Keystone Connect” AI Campus data center westmoreland PA | westmoreland PA data center opposition OR moratorium OR rezoning OR petition | TECfusions data center PA residents
126,prj_245,Homer City Energy + AI Campus,Homer City Redevelopment; Kiewit; GE Vernova; Amazon,PA,indiana,proposals_unopposed,advanced_confirmed,2025-08-01,4500.0,Homer City Energy + AI Campus PA | Homer City Energy + AI Campus data center indiana PA | indiana PA data center opposition OR moratorium OR rezoning OR petition | Homer City Redevelopment; Kiewit; GE Vernova; Amazon data center PA residents
127,prj_331,ExoticRidge Bitcoin Mine,ExoticRidge,TN,hawkins,proposals_unopposed,pending,2025-01-01,8.0,ExoticRidge Bitcoin Mine TN | ExoticRidge Bitcoin Mine data center hawkins TN | hawkins TN data center opposition OR moratorium OR rezoning OR petition | ExoticRidge data center TN residents
128,prj_174,5C Charlotte Data Center,5C Group; Hypertec Cloud; 5C Data Centers; Brookfield Asset Management; Deutsche Bank; 5C Group,NC,mecklenburg,proposals_unopposed,advanced_confirmed,,,5C Charlotte Data Center NC | 5C Charlotte Data Center data center mecklenburg NC | mecklenburg NC data center opposition OR moratorium OR rezoning OR petition | 5C Group; Hypertec Cloud; 5C Data Centers; Brookfield Asset Management; Deutsche Bank; 5C Group data center NC residents
129,prj_189,AWS Innovation Campus / New Albany Data Center Campus,Amazon Web Services,OH,licking,proposals_unopposed,advanced_confirmed,2024-11-01,,AWS Innovation Campus / New Albany Data Center Campus OH | AWS Innovation Campus / New Albany Data Center Campus data center licking OH | licking OH data center opposition OR moratorium OR rezoning OR petition | Amazon Web Services data center OH residents
130,prj_1006,Project Maize / Google Michigan City Data Center,Google; Phoenix Investors,IN,laporte,proposals_unopposed,advanced_confirmed,2025-01-01,,Project Maize / Google Michigan City Data Center IN | Project Maize / Google Michigan City Data Center data center laporte IN | laporte IN data center opposition OR moratorium OR rezoning OR petition | Google; Phoenix Investors data center IN residents
