fips,calibrated_score,has_enacted_restrictive,va_p_lower,va_p_upper,va_width,set_90,set_80,covered_90,covered_80
12055,0.106,0,0.0889,0.2143,0.1254,none_supported,none_supported,1,1
12057,0.4314,0,0.2623,0.5652,0.3029,none_supported,atypical,1,0
12059,0.0505,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
12061,0.1513,0,0.1707,0.2589,0.0882,none_supported,none_supported,1,1
12063,0.0777,0,0.0465,0.1212,0.0747,none_supported,none_supported,1,1
12065,0.0506,0,0.0234,0.0744,0.051,none_supported,none_supported,1,1
12067,0.0326,0,0.0,0.039,0.039,none_supported,none_supported,1,1
12069,0.1964,0,0.1735,0.2903,0.1169,none_supported,atypical,1,0
12071,0.2655,0,0.1735,0.4,0.2265,none_supported,atypical,1,0
12073,0.2174,0,0.1735,0.3,0.1265,none_supported,atypical,1,0
12075,0.0736,0,0.0465,0.0875,0.041,none_supported,none_supported,1,1
12077,0.0309,0,0.0,0.039,0.039,none_supported,none_supported,1,1
12079,0.0543,0,0.0234,0.0744,0.051,none_supported,none_supported,1,1
12081,0.2107,0,0.1735,0.3,0.1265,none_supported,atypical,1,0
12083,0.1946,0,0.1714,0.2698,0.0984,none_supported,atypical,1,0
12085,0.1496,0,0.1707,0.2589,0.0882,none_supported,none_supported,1,1
12086,0.4569,0,0.2623,0.5652,0.3029,none_supported,atypical,1,0
12087,0.1073,0,0.0743,0.2195,0.1452,none_supported,none_supported,1,1
12089,0.1103,1,0.0743,0.1875,0.1132,none_supported,none_supported,0,0
12091,0.1514,0,0.1707,0.2589,0.0882,none_supported,none_supported,1,1
12093,0.0702,0,0.0465,0.0833,0.0368,none_supported,none_supported,1,1
12095,0.3912,0,0.2623,0.5652,0.3029,none_supported,atypical,1,0
12097,0.2093,1,0.1735,0.3,0.1265,none_supported,atypical,0,0
12099,0.3323,0,0.25,0.5294,0.2794,none_supported,atypical,1,0
12101,0.2489,0,0.1735,0.3,0.1265,none_supported,atypical,1,0
12103,0.3238,0,0.25,0.5294,0.2794,none_supported,atypical,1,0
12105,0.2863,0,0.1735,0.3415,0.168,none_supported,atypical,1,0
12107,0.0952,0,0.0743,0.1765,0.1022,none_supported,none_supported,1,1
12109,0.1834,0,0.1714,0.2589,0.0875,none_supported,atypical,1,0
12111,0.2108,0,0.1735,0.3,0.1265,none_supported,atypical,1,0
12113,0.1401,0,0.1707,0.2589,0.0882,none_supported,none_supported,1,1
12115,0.24,0,0.1735,0.3,0.1265,none_supported,atypical,1,0
12117,0.2556,0,0.2,0.4,0.2,none_supported,atypical,1,0
12119,0.1334,0,0.1707,0.2589,0.0882,none_supported,none_supported,1,1
12121,0.0739,0,0.0465,0.0952,0.0487,none_supported,none_supported,1,1
12123,0.0483,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
12125,0.0508,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
12127,0.2396,0,0.1735,0.3,0.1265,none_supported,atypical,1,0
12129,0.0723,0,0.0465,0.0854,0.0389,none_supported,none_supported,1,1
12131,0.0857,0,0.0743,0.1765,0.1022,none_supported,none_supported,1,1
12133,0.0566,0,0.0106,0.0738,0.0631,none_supported,none_supported,1,1
13001,0.0495,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
