action,state,county,fips,in_frame_basis,census_status,census_date,gap_class,label_check,model_label,label_divergence,tracker_restrictive_records,tracker_nonterminal_records,stale_nonterminal_records,latest_tracker_date,adjacency_priority,enacted_neighbors,census_source
covered,GA,Cherokee County,13057,state_expansion,,,,,1,0,1,0,0,2026-07-22,,,
covered,GA,Clarke County,13059,state_expansion,replaced,2025-12-02,covered_confirmed,agree,1,0,1,0,0,2026-04-09,,,"moratorium-nation:ga-athens-clarke-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,GA,Crawford County,13079,state_expansion,,,,,1,0,1,0,0,2026-01-06,,,
covered,GA,DeKalb County,13089,state_expansion,extended,2025-06-25,covered_confirmed,agree,1,0,2,1,0,2026-06-23,,,"moratorium-nation:ga-dekalb-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,GA,Dougherty County,13095,state_expansion,,,,,1,0,2,1,0,2026-07-21,,,
covered,GA,Floyd County,13115,state_expansion,active,2026-06-09,covered_confirmed,agree,1,0,1,0,0,2026-06-09,,,https://www.wrganews.com/2026/06/10/the-floyd-county-commission-approved-an-80-day-moratorium-on-data-center-projects/ (hawthorn-tva-review-2026-08-21: 80-day term)
covered,GA,Forsyth County,13117,state_expansion,,,,,1,0,1,0,0,2025-10-01,,,
covered,GA,Fulton County,13121,state_expansion,,,,,1,0,3,0,0,2026-01-12,,,
covered,GA,Gilmer County,13123,state_expansion,,,,,1,0,1,0,0,2024-11-01,,,
covered,GA,Glynn County,13127,state_expansion,,,,,1,0,1,0,0,2026-04-16,,,
covered,GA,Gordon County,13129,state_expansion,,,,,1,0,1,0,0,2026-02-04,,,
covered,GA,Jones County,13169,state_expansion,rescinded,2025-09-16,census_pending_out_of_scope,out_of_scope,1,0,1,0,0,2025-10-22,,,"moratorium-nation:ga-jones-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,GA,Monroe County,13207,state_expansion,expired,2025-12-02,covered_confirmed,agree,1,0,1,0,0,2025-12-01,,,"moratorium-nation:ga-monroe-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,GA,Muscogee County,13215,state_expansion,,,,,0,0,2,2,0,2026-06-26,,,
covered,GA,Newton County,13217,state_expansion,extended,2026-02-17,covered_confirmed,agree,1,0,3,0,0,2026-01-20,,,"moratorium-nation:ga-newton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,GA,Richmond County,13245,state_expansion,,,,,1,0,1,0,0,2026-07-21,,,
covered,GA,Rockdale County,13247,state_expansion,,,,,1,0,1,0,0,2026-05-12,,,
covered,GA,Spalding County,13255,state_expansion,,,,,1,0,1,0,0,2026-01-13,,,
covered,GA,Thomas County,13275,state_expansion,active,2026-01-20,covered_confirmed,agree,1,0,1,0,0,2026-01-20,,,"moratorium-nation:ga-thomas-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,GA,Walker County,13295,state_expansion,active,2026-07-09,covered_confirmed,agree,1,0,1,0,0,2026-07-09,,,https://walkercountyga.gov/2026/08/07/board-delays-budget-vote-enacts-180-day-moratorium-on-data-centers/ (hawthorn-tva-review-2026-08-21: extended from 30 to 180 days on 2026-08-06)
covered,KY,Barren County,21009,state_expansion,,,,,1,0,1,1,0,2026-07-20,,,
covered,KY,Boyd County,21019,state_expansion,,,,,1,0,1,1,0,2026-06-02,,,
covered,KY,Butler County,21031,state_expansion,,,,,1,0,1,0,0,2026-06-30,,,
covered,KY,Daviess County,21059,state_expansion,,,,,1,0,1,0,0,2026-05-28,,,
covered,KY,Fayette County,21067,state_expansion,,,,,1,0,1,1,0,2026-06-08,,,
covered,KY,Harrison County,21097,state_expansion,,,,,0,0,1,1,0,2026-07-29,,,
covered,KY,Mercer County,21167,state_expansion,,,,,1,0,3,2,0,2026-07-14,,,
covered,KY,Woodford County,21239,state_expansion,,,,,1,0,1,0,0,2026-06-16,,,
covered,MS,Coahoma County,28027,state_expansion,,,,,0,0,1,0,0,2026-03-24,,,
covered,MS,Hinds County,28049,state_expansion,,,,,1,0,1,0,0,2026-07-14,,,
covered,NC,Clay County,37043,state_expansion,active,2026-01-08,covered_confirmed,agree,1,0,2,0,0,2026-01-08,,,"moratorium-nation:nc-clay-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,NC,Durham County,37063,state_expansion,,,,,1,0,1,0,0,2026-05-04,,,
covered,NC,Edgecombe County,37065,state_expansion,,,,,0,0,2,1,0,2026-07-14,,,
covered,NC,Gates County,37073,state_expansion,active,2025-12-17,covered_confirmed,agree,1,0,1,0,0,2025-12-17,,,"moratorium-nation:nc-gates-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,NC,Northampton County,37131,state_expansion,,,,,1,0,1,0,0,2026-05-04,,,
covered,NC,Orange County,37135,state_expansion,active,2026-04-21,covered_confirmed,agree,1,0,2,0,0,2026-06-01,,,"moratorium-nation:nc-orange-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,NC,Surry County,37171,state_expansion,,,,,1,0,1,0,0,2026-07-21,,,
covered,NC,Swain County,37173,state_expansion,active,2026-04-21,covered_confirmed,agree,1,0,1,0,0,2026-04-01,,,"moratorium-nation:nc-swain-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,NC,Vance County,37181,state_expansion,,,,,0,0,1,0,0,2026-04-20,4,1,
