state,county,census_instrument,census_status,census_episodes,census_statuses,census_date,census_source,tracker_mechanism,tracker_outcome,tracker_date,model_label,join_status,gap_class,label_check,label_false_negative
IA,Clarke County,moratorium,active,1,active,2025-06-23,"moratorium-nation:ia-clarke-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2025-06-23,1,joined,covered_confirmed,agree,0
IA,Clayton County,moratorium,extended,1,extended,2025-02-25,"moratorium-nation:ia-clayton-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2025-02-25,1,joined,covered_confirmed,agree,0
IA,Franklin County,moratorium,active,1,active,2026-03-31,"moratorium-nation:ia-franklin-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-03,1,joined,covered_unconfirmed,agree,0
IA,Johnson County,moratorium,active,1,active,2025-11-06,"moratorium-nation:ia-johnson-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2025-11-08,1,joined,covered_unconfirmed,agree,0
IA,Jones County,moratorium,replaced,1,replaced,2024-10-15,"moratorium-nation:ia-jones-county-2024 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2025-05-13,1,joined,covered_unconfirmed,agree,0
IA,Mitchell County,moratorium,active,1,active,2025-11-25,"moratorium-nation:ia-mitchell-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2025-11-25,1,joined,covered_unconfirmed,agree,0
IA,Shelby County,moratorium,active,1,active,2026-03-17,"moratorium-nation:ia-shelby-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-03-17,1,joined,covered_unconfirmed,agree,0
IA,Story County,moratorium,expired,1,expired,2025-06-17,"moratorium-nation:ia-story-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2025-06-17,1,joined,covered_unconfirmed,agree,0
IA,Tama County,moratorium,active,1,active,2025-11-10,"moratorium-nation:ia-tama-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2025-11-10,1,joined,covered_unconfirmed,agree,0
IA,Union County,moratorium,pending,1,pending,2026-03-18,"moratorium-nation:ia-union-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,0,joined,census_pending_out_of_scope,out_of_scope,0
