state,county,instrument,census_status,date_enacted,source
IL,La Salle County,moratorium,active,2026-06-08,"moratorium-nation:il-la-salle-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,Fayette County,moratorium,active,2026-05-05,"moratorium-nation:in-fayette-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,Miami County,moratorium,active,2026-05-04,"moratorium-nation:in-miami-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,Warrick County,moratorium,pending,,"moratorium-nation:in-warrick-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Audubon County,moratorium,active,2026-05-05,"moratorium-nation:ia-audubon-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Cedar County,moratorium,active,2026-05-26,"moratorium-nation:ia-cedar-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Des Moines County,moratorium,active,2026-05-19,"moratorium-nation:ia-des-moines-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Dickinson County,moratorium,active,2026-05-12,"moratorium-nation:ia-dickinson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Dubuque County,moratorium,active,2026-05-26,"moratorium-nation:ia-dubuque-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Ida County,moratorium,active,2026-06-30,"moratorium-nation:ia-ida-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Lee County,moratorium,active,2026-06-16,"moratorium-nation:ia-lee-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Linn County,moratorium,active,2026-07-01,"moratorium-nation:ia-linn-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Madison County,moratorium,active,2026-05,"moratorium-nation:ia-madison-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Palo Alto County,moratorium,active,2026-07-08,"moratorium-nation:ia-palo-alto-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Plymouth County,moratorium,active,2026-06-16,"moratorium-nation:ia-plymouth-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Sioux County,moratorium,active,2026-06-16,"moratorium-nation:ia-sioux-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Taylor County,moratorium,active,2026-05-07,"moratorium-nation:ia-taylor-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Woodbury County,moratorium,active,2026-06-23,"moratorium-nation:ia-woodbury-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KS,Geary County,moratorium,active,2026-06-22,"moratorium-nation:ks-geary-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KS,Lyon County,moratorium,active,2026-07-23,"moratorium-nation:ks-lyon-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KY,Bell County,moratorium,active,2026-07-02,"moratorium-nation:ky-bell-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KY,Boyle County,moratorium,active,2026-06-09,"moratorium-nation:ky-boyle-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KY,Bullitt County,moratorium,active,2026-07-21,"moratorium-nation:ky-bullitt-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KY,Daviess County,moratorium,active,2026-05-28,"moratorium-nation:ky-daviess-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KY,Edmonson County,moratorium,active,2026-06-08,"moratorium-nation:ky-edmonson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KY,Mercer County Fiscal Court,moratorium,pending,,"moratorium-nation:ky-mercer-county-fiscal-court-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KY,Nelson County,moratorium,active,2026-07-07,"moratorium-nation:ky-nelson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
LA,St. Charles Parish,moratorium,replaced,,"moratorium-nation:la-st-charles-parish-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
MD,Frederick County,moratorium,active,2026-07-01,"moratorium-nation:md-frederick-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
