fips,raw_oof_score,calibrated_score,score_decile,has_enacted_restrictive
37063,0.3916,0.4259,10,1
37065,0.218,0.2263,9,0
37067,0.4083,0.4638,10,0
37069,0.1038,0.1004,8,0
37071,0.1775,0.1782,9,0
37073,0.0378,0.031,2,1
37075,0.0418,0.0381,3,0
37077,0.0952,0.0909,7,0
37079,0.0549,0.0502,4,0
37081,0.5553,0.6041,10,0
37083,0.0721,0.069,6,0
37085,0.1292,0.1265,8,0
37087,0.1058,0.1019,8,1
37089,0.1584,0.1628,9,1
37091,0.0575,0.0524,5,0
37093,0.0903,0.0883,7,0
37095,0.0262,0.0225,1,0
37097,0.4168,0.4539,10,0
37099,0.0939,0.09,7,0
37101,0.1608,0.1655,9,0
37103,0.0402,0.0353,3,0
37105,0.1031,0.0997,8,1
37107,0.082,0.0795,7,0
37109,0.1293,0.1266,8,0
37111,0.0775,0.0744,7,0
37113,0.0813,0.0788,7,0
37115,0.0752,0.0689,6,1
37117,0.0554,0.0503,4,0
37119,0.6543,0.7059,10,1
37121,0.0618,0.0567,5,0
37123,0.062,0.0586,5,0
37125,0.1513,0.1519,9,0
37127,0.1102,0.1082,8,0
37129,0.2711,0.2982,10,0
37131,0.0508,0.0457,4,1
37133,0.1502,0.1507,9,0
37135,0.2695,0.2881,10,1
37137,0.0543,0.051,5,0
37139,0.0966,0.0951,7,0
37141,0.1007,0.0983,8,0
37143,0.0528,0.0477,4,0
37145,0.1543,0.1532,9,0
37147,0.1634,0.163,9,0
37149,0.0808,0.0779,7,0
37151,0.1125,0.1098,8,0
37153,0.1424,0.1405,8,0
37155,0.0946,0.092,7,0
37157,0.1814,0.1824,9,0
37159,0.2357,0.2415,10,1
37161,0.1501,0.1502,9,0
37163,0.0738,0.0707,6,0
37165,0.0702,0.067,6,0
37167,0.094,0.0897,7,0
37169,0.1532,0.152,9,0
37171,0.0922,0.0882,7,1
37173,0.0502,0.0469,4,1
37175,0.1041,0.1018,8,0
37177,0.0255,0.0228,1,0
37179,0.2316,0.237,10,0
37181,0.1647,0.1667,9,0
37183,0.5932,0.6232,10,1
37185,0.0559,0.0489,4,0
37187,0.0399,0.0331,2,0
37189,0.1538,0.1527,9,1
37191,0.1198,0.1182,8,0
37193,0.0791,0.073,6,0
37195,0.1039,0.1001,8,0
37197,0.0728,0.0681,6,0
37199,0.0632,0.0581,5,0
38001,0.0255,0.0228,1,0
38003,0.0526,0.049,4,0
38005,0.0369,0.0338,2,0
38007,0.0232,0.0193,1,0
38009,0.0408,0.0359,3,0
