opposed_project_id,opposed_project_name,opposed_state,opposed_lifecycle_outcome,opposed_decided,opposed_capacity_mw,opposed_county_margin_2024,control_rank,control_universe_id,control_name,control_source,control_state,control_capacity_mw,control_county_margin_2024,match_distance,match_basis,match_relaxation,match_scope
prj_215,Killen Revitilization Project,OH,pending,no,650.0,-0.6574,1,prj_198,Project Galaxy,proposals_unopposed,OH,,-0.6481,0.0093,margin,state+tercile+caliper,in_state
prj_215,Killen Revitilization Project,OH,pending,no,650.0,-0.6574,2,prj_207,Bitdeer Clarington Data Center,proposals_unopposed,OH,,-0.5976,0.0598,margin,state+tercile+caliper,in_state
prj_215,Killen Revitilization Project,OH,pending,no,650.0,-0.6574,3,prj_206,Hannibal Data Center Campus,proposals_unopposed,OH,300.0,-0.5976,0.1978,margin+log_mw,state+tercile+caliper,in_state
prj_216,Marysville South Data Center,OH,pending,no,800.0,-0.2963,1,prj_208,NEO-01 / Sandusky Data Center,proposals_unopposed,OH,96.0,-0.3087,0.4666,margin+log_mw,state+tercile+caliper,in_state
prj_216,Marysville South Data Center,OH,pending,no,800.0,-0.2963,2,atl_00018,CyrusOne Cincinnati-Mason CIN3,atlas,OH,,-0.3152,0.7189,margin,state+tercile+caliper,in_state
prj_216,Marysville South Data Center,OH,pending,no,800.0,-0.2963,3,atl_00074,CyrusOne Cincinnati-Lebanon,atlas,OH,,-0.3152,0.7189,margin,state+tercile+caliper,in_state
prj_217,Buck Canyon Properties Data Center,OH,pending,no,1300.0,-0.6574,1,prj_198,Project Galaxy,proposals_unopposed,OH,,-0.6481,0.0093,margin,state+tercile+caliper,in_state
prj_217,Buck Canyon Properties Data Center,OH,pending,no,1300.0,-0.6574,2,prj_207,Bitdeer Clarington Data Center,proposals_unopposed,OH,,-0.5976,0.0598,margin,state+tercile+caliper,in_state
prj_217,Buck Canyon Properties Data Center,OH,pending,no,1300.0,-0.6574,3,prj_206,Hannibal Data Center Campus,proposals_unopposed,OH,300.0,-0.5976,0.3483,margin+log_mw,state+tercile+caliper,in_state
prj_219,Perry Township Data Center,OH,pending,no,240.0,-0.2193,1,prj_208,NEO-01 / Sandusky Data Center,proposals_unopposed,OH,96.0,-0.3087,0.2437,margin+log_mw,state+tercile+caliper,in_state
prj_219,Perry Township Data Center,OH,pending,no,240.0,-0.2193,2,atl_01104,Google,atlas,OH,,-0.2405,0.7212,margin,state+tercile+caliper,in_state
prj_219,Perry Township Data Center,OH,pending,no,240.0,-0.2193,3,atl_00324,Unknown,atlas,OH,,-0.1415,0.7778,margin,state+tercile+caliper,in_state
prj_221,Google Franklin Furnace Data Center,OH,pending,no,,-0.4797,1,prj_211,Akron Data Center Expansion,proposals_unopposed,OH,,-0.4240,0.0557,margin,state+tercile+caliper,in_state
prj_221,Google Franklin Furnace Data Center,OH,pending,no,,-0.4797,2,prj_218,PORTS Technology Center,proposals_unopposed,OH,10000.0,-0.5368,0.0571,margin,state+tercile+caliper,in_state
prj_221,Google Franklin Furnace Data Center,OH,pending,no,,-0.4797,3,prj_264,Klondike Data Center Project,proposals_unopposed,PA,218.0,-0.4792,1.5005,margin,national+caliper,national_fallback
prj_222,Urbana Data Center,OH,pending,no,,-0.5076,1,prj_218,PORTS Technology Center,proposals_unopposed,OH,10000.0,-0.5368,0.0292,margin,state+tercile+caliper,in_state
prj_222,Urbana Data Center,OH,pending,no,,-0.5076,2,prj_211,Akron Data Center Expansion,proposals_unopposed,OH,,-0.4240,0.0836,margin,state+tercile+caliper,in_state
prj_222,Urbana Data Center,OH,pending,no,,-0.5076,3,prj_206,Hannibal Data Center Campus,proposals_unopposed,OH,300.0,-0.5976,0.0900,margin,state+tercile+caliper,in_state
prj_223,Project BOSC,OH,pending,no,,-0.4410,1,prj_211,Akron Data Center Expansion,proposals_unopposed,OH,,-0.4240,0.0170,margin,state+tercile+caliper,in_state
