fips,county_name,state,label_state,evidence_grade,families_checked,families_covered,independence_classes,sources_clear,sources_hit,sources_unreachable,last_checked,staleness_days,probe_status,in_force_as_of,evidence_url_primary,conflict,needs_recheck
06077,"San Joaquin County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06079,"San Luis Obispo County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06081,"San Mateo County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06083,"Santa Barbara County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06085,"Santa Clara County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06087,"Santa Cruz County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06089,"Shasta County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06091,"Sierra County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06093,"Siskiyou County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06095,"Solano County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06097,"Sonoma County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06099,"Stanislaus County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06101,"Sutter County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06103,"Tehama County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06105,"Trinity County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06107,"Tulare County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06109,"Tuolumne County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06111,"Ventura County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06113,"Yolo County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06115,"Yuba County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
08001,"Adams County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08003,"Alamosa County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08005,"Arapahoe County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08007,"Archuleta County, Colorado",CO,unverified,D,,restriction_census,,0,0,0,,,never_probed,,,label_negative_upstream_hit,1
08009,"Baca County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08011,"Bent County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08013,"Boulder County, Colorado",CO,asserted_restrictive,D,,restriction_census,,0,0,0,,,never_probed,,,label_positive_no_support,1
08014,"Broomfield County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08015,"Chaffee County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08017,"Cheyenne County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08019,"Clear Creek County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08021,"Conejos County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08023,"Costilla County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08025,"Crowley County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08027,"Custer County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08029,"Delta County, Colorado",CO,unverified,D,,restriction_census,,0,0,0,,,never_probed,,,label_negative_upstream_hit,1
08031,"Denver County, Colorado",CO,asserted_restrictive,U,,,,0,0,0,,,never_probed,,,label_positive_no_support,1
08033,"Dolores County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08035,"Douglas County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08037,"Eagle County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08039,"Elbert County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08041,"El Paso County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08043,"Fremont County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08045,"Garfield County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08047,"Gilpin County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08049,"Grand County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08051,"Gunnison County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08053,"Hinsdale County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08055,"Huerfano County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08057,"Jackson County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08059,"Jefferson County, Colorado",CO,unverified,D,,restriction_census,,0,0,0,,,never_probed,,,label_negative_upstream_hit,1
08061,"Kiowa County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08063,"Kit Carson County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08065,"Lake County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08067,"La Plata County, Colorado",CO,unverified,U,,,,0,0,0,,,never_probed,,,,1
08069,"Larimer County, Colorado",CO,asserted_restrictive,B,restriction_census,restriction_census,secondary,0,1,0,2026-09-17,0,complete,2026-01-27,"moratorium-nation:co-larimer-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,0
