state,county,instrument,census_status,date_enacted,source
GA,Newton County,moratorium,extended,2026-02-17,"moratorium-nation:ga-newton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Pike County,moratorium,active,2025-09,"moratorium-nation:ga-pike-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Polk County,moratorium,active,2026-03-03,"moratorium-nation:ga-polk-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Thomas County,moratorium,active,2026-01-20,"moratorium-nation:ga-thomas-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Troup County,moratorium,expired,2025-09-16,"moratorium-nation:ga-troup-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Adair County,moratorium,active,2026-03-18,"moratorium-nation:ia-adair-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Clarke County,moratorium,active,2025-06-23,"moratorium-nation:ia-clarke-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Clayton County,moratorium,extended,2025-02-25,"moratorium-nation:ia-clayton-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Franklin County,moratorium,active,2026-03-31,"moratorium-nation:ia-franklin-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Johnson County,moratorium,active,2025-11-06,"moratorium-nation:ia-johnson-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Jones County,moratorium,replaced,2024-10-15,"moratorium-nation:ia-jones-county-2024 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Mitchell County,moratorium,active,2025-11-25,"moratorium-nation:ia-mitchell-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Shelby County,moratorium,active,2026-03-17,"moratorium-nation:ia-shelby-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Story County,moratorium,expired,2025-06-17,"moratorium-nation:ia-story-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Tama County,moratorium,active,2025-11-10,"moratorium-nation:ia-tama-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IA,Union County,moratorium,pending,2026-03-18,"moratorium-nation:ia-union-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
ID,Kootenai County,moratorium,replaced,2025-03-11,"moratorium-nation:id-kootenai-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IL,Champaign County,moratorium,active,2026-04-23,"moratorium-nation:il-champaign-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IL,Morgan County,moratorium,active,2026-04-27,"moratorium-nation:il-morgan-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,Boone County,moratorium,active,2026-06-15,https://boonecounty.in.gov/2026/06/15/19190/
IN,Cass County,ban,active,,https://www.wfyi.org/statewide/2026-07-06/indiana-counties-data-center-moratoriums-bans-2026 (per IU ERI via WFYI 2026-07-06; prior citation pointed to a Starke County article and was corrected 2026-08-21)
IN,DeKalb County,moratorium,active,2026-04-13,"moratorium-nation:in-dekalb-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,Dearborn County,moratorium,active,2026-02-24,"moratorium-nation:in-dearborn-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,Franklin County,moratorium,extended,2025-12-24,"moratorium-nation:in-franklin-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,Fulton County,moratorium,active,2026-03-02,"moratorium-nation:in-fulton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,Grant County,moratorium,active,2026-03-02,https://www.chronicle-tribune.com/
IN,Huntington County,moratorium,active,2026-02-23,"moratorium-nation:in-huntington-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,Madison County,moratorium,active,2026-06-17,https://www.heraldbulletin.com/news/local_news/madison-county-being-asked-for-data-center-moratorium/article_57dc7598-1ead-4570-81c9-2e8306d8268a.html
IN,Marshall County,ban,active,2026-04-20,https://wkvi.com/2026/07/starke-county-planning-commission-begins-exploring-possible-countywide-data-center-ban/ (ban succeeding expired 2025 moratorium)
IN,Pulaski County,moratorium,active,2026-01-20,"moratorium-nation:in-pulaski-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,Putnam County,moratorium,active,2025-11-17,"moratorium-nation:in-putnam-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,Shelby County,moratorium,active,2026-02-23,"moratorium-nation:in-shelby-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,Starke County,moratorium,active,2025-12-15,"moratorium-nation:in-starke-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
IN,White County,moratorium,replaced,2025-10-20,"moratorium-nation:in-white-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KS,Brown County,moratorium,active,2026-03-02,"moratorium-nation:ks-brown-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KS,Harvey County,moratorium,active,2026-01-13,"moratorium-nation:ks-harvey-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KS,Kingman County,moratorium,active,2026-02-09,"moratorium-nation:ks-kingman-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KS,Marion County,moratorium,active,2026-03-02,"moratorium-nation:ks-marion-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KS,McPherson County,moratorium,extended,2025-08-04,"moratorium-nation:ks-mcpherson-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KS,Riley County,moratorium,active,2026-04-13,"moratorium-nation:ks-riley-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KS,Saline County,moratorium,active,2026-03-17,"moratorium-nation:ks-saline-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
KS,Sedgwick County,moratorium,extended,2026-01-14,"moratorium-nation:ks-sedgwick-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
