name,operator,state,county,sqft,lat,lon,type
EdgeConneX CHI01,EdgeConneX,Illinois,Cook County,120191.0,42.00077520139855,-87.9507686963863,building
Unknown,,Maryland,Frederick County,64023.0,39.377776311443,-77.41151850611422,building
Verizon Wireline Network Building,,New Jersey,Middlesex County,32247.0,40.49490313172346,-74.44309493368364,building
RagingWire CA3,NTT,California,Sacramento County,151366.0,38.64423935185345,-121.49876273285923,building
Unknown,,Iowa,Pottawattamie County,227733.0,41.22148561735031,-95.86382197433596,building
360 Spear Street Data Center,Digital Realty,California,San Francisco County,34599.0,37.788991656058194,-122.390136684847,building
Equinix New York Secaucus NY5,Equinix,New Jersey,Hudson County,211455.0,40.77860177682814,-74.07230107005047,building
Equinix New York Secaucus NY4,Equinix,New Jersey,Hudson County,317271.0,40.77642808061452,-74.06977591206658,building
Equinix NY3,Equinix,New Jersey,Hudson County,274326.0,40.77485222997869,-74.06889005365075,building
Equinix New York Secaucus NY2,Equinix,New Jersey,Hudson County,402960.0,40.77741950863346,-74.07591693201753,building
Centersquare NYC3 Data Center,Centersquare,New Jersey,Hudson County,143163.0,40.786164392038,-74.06918218107636,building
QTS Sacramento,Quality Technology Services,California,Sacramento County,90196.0,38.64634932685158,-121.48622274444377,building
Unknown,,Missouri,Platte County,59078.0,39.2906006524332,-94.67586457208311,building
Unknown,,Missouri,Platte County,240121.0,39.29565786992253,-94.67347189936218,building
Black Rock Financial Management,,Missouri,Platte County,80025.0,39.295491746601805,-94.67802527416188,building
Unknown,,Missouri,Platte County,51140.0,39.30240570006526,-94.68479180000348,building
Cherokee Data Center,,Oklahoma,Tulsa County,414827.0,36.262546063389934,-95.9100313251996,building
CyrusOne Chicago Aurora CME,CyrusOne,Illinois,DuPage County,483103.0,41.796710709040994,-88.24360276085451,building
Xfinity/Comcast Data Center,,Colorado,Arapahoe County,51338.0,39.58830727917688,-104.83243481918149,building
IU Data Center,Indiana University,Indiana,Monroe County,94298.0,39.17441904078126,-86.50070264503239,building
IO Datacenter,,New Jersey,Middlesex County,829908.0,40.52090133887192,-74.34731684357497,building
DataBank Piscataway EWR2,,New Jersey,Middlesex County,50646.0,40.54921344851484,-74.45820961832148,building
Optimum,,New Jersey,Middlesex County,68126.0,40.54682624136092,-74.49202896228643,building
Equinix,Equinix,New Jersey,Middlesex County,62331.0,40.544881931883474,-74.49538057530053,building
Barclays Datacenter,Barclays,New Jersey,Middlesex County,352286.0,40.5472442650833,-74.45973725576991,building
Digital Realty New York EWR12,Digital Realty,New Jersey,Middlesex County,302795.0,40.5529045023767,-74.45930065392976,building
Digital Realty New York EWR11,Digital Realty,New Jersey,Middlesex County,96114.0,40.55377882278532,-74.4571794816788,building
Intergate Seattle East Building 2,,Washington,King County,107319.0,47.49503090192437,-122.29056964991396,building
Intergate Seattle East Building 1,Sabey,Washington,King County,97862.0,47.49485963017309,-122.28819434180774,building
Equinix SV15,Equinix,California,Santa Clara County,38211.0,37.3754951498238,-121.98840629999836,building
Equinix SV16,Equinix,California,Santa Clara County,26347.0,37.37611802320719,-121.98868795324002,building
Equinix SV17,Equinix,California,Santa Clara County,42360.0,37.37652899594956,-121.98858391314208,building
Equinix SV14,Equinix,California,Santa Clara County,20213.0,37.37496213850432,-121.98850932446408,building
CoreSite SV4,CoreSite,California,Santa Clara County,51928.0,37.37626310504029,-121.97068417339612,building
Lumen Santa Clara,Lumen Technologies,California,Santa Clara County,25424.0,37.37700481451302,-121.952081932971,building
Prime Santa Clara,Prime,California,Santa Clara County,30065.0,37.37501721660046,-121.95324973327962,building
Digital Realty Silicon Valley SJC10,Digital Realty,California,Santa Clara County,57051.0,37.37582290579368,-121.95333535904548,building
Colovore,,California,Santa Clara County,24161.0,37.37672946683328,-121.95314883048796,building
Digital Realty Silicon Valley SJC30,Digital Realty,California,Santa Clara County,48539.0,37.37828897395487,-121.95810528697965,building
Digital Realty Silicon Valley SJC15,Digital Realty,California,Santa Clara County,24615.0,37.374996550088426,-121.95407689999966,building
